"hgnc_id" "count" "sym" "gene_id" "transcript_id" "gene"
"1" 5 4 0 "ENSG00000121410.12" "ENST00000263100.8" "A1BG"
"2" 7 10 0 "ENSG00000175899.15" "ENST00000318602.12" "A2M"
"3" 16 20 0 "ENSG00000196136.18" "ENST00000393078.5" "SERPINA3"
"4" 17 5 0 "ENSG00000114771.14" "ENST00000232892.12" "AADAC"
"5" 18 3 0 "ENSG00000127837.10" "ENST00000248450.9" "AAMP"
"6" 19 5 0 "ENSG00000129673.10" "ENST00000392492.8" "AANAT"
"7" 20 2 0 "ENSG00000090861.17" "ENST00000261772.13" "AARS1"
"8" 21 7 0 "ENSG00000181409.14" "ENST00000326724.9" "AATK"
"9" 23 16 0 "ENSG00000183044.12" "ENST00000268251.13" "ABAT"
"10" 29 7 0 "ENSG00000165029.17" "ENST00000374736.8" "ABCA1"
"11" 30 8 0 "ENSG00000154263.18" "ENST00000690296.1" "ABCA10"
"12" 32 17 0 "ENSG00000107331.18" "ENST00000341511.11" "ABCA2"
"13" 33 5 0 "ENSG00000167972.14" "ENST00000301732.10" "ABCA3"
"14" 34 8 0 "ENSG00000198691.14" "ENST00000370225.4" "ABCA4"
"15" 35 6 0 "ENSG00000154265.16" "ENST00000392676.8" "ABCA5"
"16" 36 7 0 "ENSG00000154262.13" "ENST00000284425.7" "ABCA6"
"17" 37 4 0 "ENSG00000064687.13" "ENST00000263094.11" "ABCA7"
"18" 38 4 0 "ENSG00000141338.15" "ENST00000586539.6" "ABCA8"
"19" 39 4 0 "ENSG00000154258.17" "ENST00000340001.9" "ABCA9"
"20" 40 3 0 "ENSG00000085563.15" "ENST00000622132.5" "ABCB1"
"21" 41 3 0 "ENSG00000135776.5" "ENST00000344517.5" "ABCB10"
"22" 42 2 0 "ENSG00000073734.10" "ENST00000650372.1" "ABCB11"
"23" 43 7 0 "ENSG00000168394.13" "ENST00000354258.5" "TAP1"
"24" 44 7 0 "ENSG00000204267.18" "ENST00000374897.4" "TAP2"
"25" 45 3 0 "ENSG00000005471.19" "ENST00000649586.2" "ABCB4"
"26" 46 7 0 "ENSG00000004846.17" "ENST00000404938.7" "ABCB5"
"27" 47 5 0 "ENSG00000115657.14" "ENST00000265316.9" "ABCB6"
"28" 48 2 0 "ENSG00000131269.19" "ENST00000373394.8" "ABCB7"
"29" 49 2 0 "ENSG00000197150.13" "ENST00000358849.9" "ABCB8"
"30" 50 5 0 "ENSG00000150967.19" "ENST00000280560.13" "ABCB9"
"31" 51 6 0 "ENSG00000103222.20" "ENST00000399410.8" "ABCC1"
"32" 52 4 0 "ENSG00000124574.15" "ENST00000372530.9" "ABCC10"
"33" 53 7 0 "ENSG00000023839.12" "ENST00000647814.1" "ABCC2"
"34" 54 8 0 "ENSG00000108846.16" "ENST00000285238.13" "ABCC3"
"35" 55 5 0 "ENSG00000125257.16" "ENST00000645237.2" "ABCC4"
"36" 56 5 0 "ENSG00000114770.17" "ENST00000334444.11" "ABCC5"
"37" 59 3 0 "ENSG00000006071.16" "ENST00000389817.8" "ABCC8"
"38" 60 6 0 "ENSG00000069431.14" "ENST00000261200.9" "ABCC9"
"39" 61 3 0 "ENSG00000101986.12" "ENST00000218104.6" "ABCD1"
"40" 66 3 0 "ENSG00000173208.4" "ENST00000308666.4" "ABCD2"
"41" 67 3 0 "ENSG00000117528.14" "ENST00000370214.9" "ABCD3"
"42" 68 3 0 "ENSG00000119688.21" "ENST00000356924.9" "ABCD4"
"43" 69 1 0 "ENSG00000164163.11" "ENST00000296577.9" "ABCE1"
"44" 70 2 0 "ENSG00000204574.14" "ENST00000326195.13" "ABCF1"
"45" 71 2 0 "ENSG00000033050.9" "ENST00000287844.7" "ABCF2"
"46" 72 1 0 "ENSG00000161204.12" "ENST00000429586.7" "ABCF3"
"47" 73 5 0 "ENSG00000160179.19" "ENST00000398449.8" "ABCG1"
"48" 74 16 0 "ENSG00000118777.12" "ENST00000237612.8" "ABCG2"
"49" 76 6 0 "ENSG00000097007.19" "ENST00000318560.6" "ABL1"
"50" 77 6 0 "ENSG00000143322.21" "ENST00000502732.6" "ABL2"
"51" 78 30 0 "ENSG00000099204.21" "ENST00000533213.7" "ABLIM1"
