"transcript" "orf_type" "count"
"1" "ENST00000000442.11" "uORF" 2
"2" "ENST00000002596.6" "uORF" 3
"3" "ENST00000002829.8" "uORF" 2
"4" "ENST00000005284.4" "uORF" 4
"5" "ENST00000005756.5" "uORF" 2
"6" "ENST00000006015.4" "uORF" 1
"7" "ENST00000007414.8" "uORF" 1
"8" "ENST00000007510.9" "uORF" 1
"9" "ENST00000008391.4" "uORF" 5
"10" "ENST00000008527.10" "uORF" 2
"11" "ENST00000019103.8" "uORF" 2
"12" "ENST00000020673.6" "uORF" 1
"13" "ENST00000020945.4" "uORF" 1
"14" "ENST00000025008.10" "uORF" 3
"15" "ENST00000025301.4" "uORF" 1
"16" "ENST00000027335.8" "uORF" 1
"17" "ENST00000035307.7" "uORF" 10
"18" "ENST00000038176.8" "uORF" 1
"19" "ENST00000046640.9" "uORF" 1
"20" "ENST00000046794.10" "uORF" 2
"21" "ENST00000052754.10" "uORF" 2
"22" "ENST00000054650.9" "uORF" 1
"23" "ENST00000055682.12" "uORF" 2
"24" "ENST00000056217.10" "start-stop" 1
"25" "ENST00000057513.8" "uORF" 3
"26" "ENST00000060969.6" "uORF" 1
"27" "ENST00000061240.7" "uORF" 4
"28" "ENST00000064571.3" "start-stop" 1
"29" "ENST00000064571.3" "uORF" 5
"30" "ENST00000066544.8" "uORF" 1
"31" "ENST00000072644.7" "uORF" 1
"32" "ENST00000072869.9" "uORF" 1
"33" "ENST00000075120.12" "uORF" 2
"34" "ENST00000075503.8" "uORF" 3
"35" "ENST00000080059.12" "start-stop" 1
"36" "ENST00000080059.12" "uORF" 1
"37" "ENST00000084798.9" "uORF" 3
"38" "ENST00000155093.8" "uORF" 1
"39" "ENST00000155926.9" "uORF" 3
"40" "ENST00000159087.7" "uORF" 1
"41" "ENST00000161863.9" "uORF" 1
"42" "ENST00000162391.8" "uORF" 1
"43" "ENST00000162749.7" "uORF" 2
"44" "ENST00000164024.5" "uORF" 1
"45" "ENST00000164133.7" "uORF" 3
"46" "ENST00000167106.9" "start-stop" 1
"47" "ENST00000167106.9" "uORF" 5
"48" "ENST00000168712.3" "uORF" 1
"49" "ENST00000169298.8" "uORF" 6
"50" "ENST00000169551.11" "start-stop" 2
"51" "ENST00000169551.11" "uORF" 4
"52" "ENST00000170168.9" "uORF" 1
"53" "ENST00000171757.3" "uORF" 8
"54" "ENST00000178640.10" "start-stop" 1
"55" "ENST00000181796.7" "uORF" 2
"56" "ENST00000181839.10" "uORF" 1
"57" "ENST00000182290.9" "uORF" 1
"58" "ENST00000186436.10" "uORF" 2
"59" "ENST00000190611.9" "uORF" 5
"60" "ENST00000192788.6" "uORF" 1
"61" "ENST00000193391.8" "uORF" 2
"62" "ENST00000194530.8" "uORF" 1
"63" "ENST00000196489.4" "uORF" 1
"64" "ENST00000199447.9" "uORF" 3
"65" "ENST00000199936.9" "uORF" 3
"66" "ENST00000200453.6" "uORF" 2
"67" "ENST00000200557.11" "uORF" 1
"68" "ENST00000201031.3" "uORF" 1
"69" "ENST00000201979.3" "uORF" 1
"70" "ENST00000202677.12" "uORF" 1
"71" "ENST00000202967.4" "uORF" 1
"72" "ENST00000203630.10" "uORF" 1
"73" "ENST00000204961.5" "uORF" 4
"74" "ENST00000205214.11" "uORF" 3
"75" "ENST00000206249.8" "uORF" 1
"76" "ENST00000206262.2" "uORF" 1
"77" "ENST00000206423.8" "uORF" 3
"78" "ENST00000206595.11" "uORF" 1
"79" "ENST00000209718.8" "uORF" 8
"80" "ENST00000210187.11" "uORF" 2
"81" "ENST00000210633.4" "start-stop" 1
"82" "ENST00000210633.4" "uORF" 9
"83" "ENST00000212355.9" "uORF" 1
"84" "ENST00000215057.7" "uORF" 3
"85" "ENST00000215555.7" "uORF" 1
"86" "ENST00000215742.9" "uORF" 2
"87" "ENST00000215794.8" "uORF" 1
"88" "ENST00000215838.8" "uORF" 1
"89" "ENST00000215886.6" "uORF" 2
"90" "ENST00000215906.6" "start-stop" 1
"91" "ENST00000215906.6" "uORF" 1
"92" "ENST00000216029.8" "uORF" 1
"93" "ENST00000216085.12" "uORF" 2
"94" "ENST00000216099.13" "uORF" 1
"95" "ENST00000216106.6" "uORF" 1
"96" "ENST00000216127.5" "uORF" 1
"97" "ENST00000216133.10" "uORF" 1
"98" "ENST00000216144.4" "uORF" 1
"99" "ENST00000216237.10" "uORF" 1
"100" "ENST00000216268.6" "uORF" 12
"101" "ENST00000216277.13" "uORF" 2
"102" "ENST00000216445.8" "uORF" 5
"103" "ENST00000216487.12" "uORF" 1
"104" "ENST00000216513.5" "uORF" 2
"105" "ENST00000216554.8" "uORF" 1
"106" "ENST00000216733.8" "uORF" 1
"107" "ENST00000216840.11" "uORF" 1
"108" "ENST00000216862.8" "uORF" 2
"109" "ENST00000216923.5" "start-stop" 1
"110" "ENST00000217086.9" "uORF" 1
"111" "ENST00000217233.9" "uORF" 2
"112" "ENST00000217244.9" "uORF" 2
"113" "ENST00000217420.2" "uORF" 1
"114" "ENST00000217455.9" "uORF" 1
"115" "ENST00000217893.10" "uORF" 2
"116" "ENST00000217939.7" "uORF" 1
"117" "ENST00000218006.3" "uORF" 7
"118" "ENST00000218032.7" "uORF" 1
"119" "ENST00000218075.9" "uORF" 6
"120" "ENST00000218176.4" "uORF" 8
"121" "ENST00000218436.7" "start-stop" 1
"122" "ENST00000219069.6" "uORF" 2
"123" "ENST00000219070.9" "uORF" 1
"124" "ENST00000219197.11" "uORF" 1
"125" "ENST00000219271.4" "uORF" 1
"126" "ENST00000219320.9" "start-stop" 1
"127" "ENST00000219320.9" "uORF" 4
"128" "ENST00000219334.10" "start-stop" 1
"129" "ENST00000219334.10" "uORF" 2
"130" "ENST00000219343.11" "uORF" 2
"131" "ENST00000219473.12" "uORF" 2
"132" "ENST00000219611.7" "uORF" 1
"133" "ENST00000219689.12" "uORF" 1
"134" "ENST00000219789.11" "uORF" 2
"135" "ENST00000219794.11" "uORF" 1
"136" "ENST00000220003.14" "uORF" 3
"137" "ENST00000220562.9" "uORF" 11
"138" "ENST00000220597.4" "start-stop" 1
"139" "ENST00000220597.4" "uORF" 2
