"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_end" "one_two_three" "phylop2"
"1" "ENST00000000442.11" "11" 64305559 64305603 "+" 1 "uORF" 64305561 3 1.16666666666667
"2" "ENST00000000442.11" "11" 64305705 64307171 "+" 2 "uORF" 64305707 3 0
"6" "ENST00000002829.8" "3" 50155344 50155379 "+" 6 "uORF" 50155346 3 0.666666666666667
"7" "ENST00000002829.8" "3" 50155468 50155488 "+" 7 "uORF" 50155470 3 0.166666666666667
"8" "ENST00000005284.4" "16" 24256440 24256484 "+" 8 "uORF" 24256442 3 2.33333333333333
"9" "ENST00000005284.4" "16" 24256481 24256690 "+" 9 "uORF" 24256483 3 2
"10" "ENST00000005284.4" "16" 24256518 24256562 "+" 10 "uORF" 24256520 3 2.83333333333333
"11" "ENST00000005284.4" "16" 24256626 24256670 "+" 11 "uORF" 24256628 3 2.33333333333333
"12" "ENST00000005756.5" "2" 158101891 158101914 "+" 12 "uORF" 158101893 3 0.166666666666667
"13" "ENST00000005756.5" "2" 158101978 158101998 "+" 13 "uORF" 158101980 3 0.666666666666667
"16" "ENST00000007510.9" "19" 35775584 35775643 "+" 16 "uORF" 35775586 3 1.5
"17" "ENST00000008391.4" "6" 50713552 50713602 "+" 17 "uORF" 50713554 3 2.33333333333333
"18" "ENST00000008391.4" "6" 50713609 50713635 "+" 18 "uORF" 50713611 3 1.83333333333333
"19" "ENST00000008391.4" "6" 50713628 50713705 "+" 19 "uORF" 50713630 3 3
"20" "ENST00000008391.4" "6" 50713638 50713667 "+" 20 "uORF" 50713640 3 6
"21" "ENST00000008391.4" "6" 50713744 50713929 "+" 21 "uORF" 50713746 3 9
"31" "ENST00000025301.4" "13" 42272196 42286012 "+" 31 "uORF" 42272198 3 2
"33" "ENST00000035307.7" "7" 151232765 151232908 "+" 33 "uORF" 151232767 3 -0.5
"34" "ENST00000035307.7" "7" 151233233 151233289 "+" 34 "uORF" 151233235 3 -0.166666666666667
"35" "ENST00000035307.7" "7" 151233245 151233289 "+" 35 "uORF" 151233247 3 0.833333333333333
"36" "ENST00000035307.7" "7" 151233260 151233289 "+" 36 "uORF" 151233262 3 -0.5
"37" "ENST00000035307.7" "7" 151233325 151233360 "+" 37 "uORF" 151233327 3 0
"38" "ENST00000035307.7" "7" 151233334 151233360 "+" 38 "uORF" 151233336 3 0.333333333333333
"39" "ENST00000035307.7" "7" 151233502 151233633 "+" 39 "uORF" 151233504 3 -0.5
"40" "ENST00000035307.7" "7" 151233578 151233628 "+" 40 "uORF" 151233580 3 0.166666666666667
"41" "ENST00000035307.7" "7" 151233647 151233712 "+" 41 "uORF" 151233649 3 0
"42" "ENST00000035307.7" "7" 151233852 151233920 "+" 42 "uORF" 151233854 3 1.83333333333333
"44" "ENST00000046640.9" "17" 3636789 3637243 "+" 44 "uORF" 3636791 3 -0.833333333333333
"49" "ENST00000054650.9" "1" 6624894 6624929 "+" 49 "uORF" 6624896 3 0.166666666666667
"56" "ENST00000061240.7" "4" 165873331 165873384 "+" 56 "uORF" 165873333 3 2.66666666666667
"57" "ENST00000061240.7" "4" 165873376 165873384 "+" 57 "uORF" 165873378 3 2.66666666666667
"58" "ENST00000061240.7" "4" 165873384 165873518 "+" 58 "uORF" 165873386 3 4.33333333333333
"59" "ENST00000061240.7" "4" 165873756 165873773 "+" 59 "uORF" 165873758 3 2.33333333333333
"67" "ENST00000072869.9" "7" 140673218 140673277 "+" 67 "uORF" 140673220 3 -1
"77" "ENST00000155093.8" "Y" 2935695 2953917 "+" 77 "uORF" 2935697 3 0.333333333333333
"78" "ENST00000155926.9" "2" 12717043 12717057 "+" 78 "uORF" 12717045 3 2.16666666666667
"79" "ENST00000155926.9" "2" 12717456 12717470 "+" 79 "uORF" 12717458 3 1.5
"80" "ENST00000155926.9" "2" 12717589 12717630 "+" 80 "uORF" 12717591 3 3.66666666666667
"82" "ENST00000161863.9" "5" 113513718 113513750 "+" 82 "uORF" 113513720 3 0.333333333333333
"83" "ENST00000162391.8" "12" 8033735 8033758 "+" 83 "uORF" 8033737 3 1.83333333333333
"87" "ENST00000164133.7" "11" 64924690 64924701 "+" 87 "uORF" 64924692 3 1
