"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_end" "one_two_three" "phylop2" "start"
"3" "ENST00000002596.6" "chr4" 11400111 11428758 "-" 3 "uORF" 11428758 3 2.16666666666667 "CAT"
"4" "ENST00000002596.6" "chr4" 11400080 11400091 "-" 4 "uORF" 11400091 3 2.16666666666667 "CAT"
"5" "ENST00000002596.6" "chr4" 11400025 11400051 "-" 5 "uORF" 11400051 3 2 "CAT"
"14" "ENST00000006015.4" "chr7" 27185152 27185187 "-" 14 "uORF" 27185187 3 8.33333333333333 "CAT"
"15" "ENST00000007414.8" "chr17" 47820345 47821677 "-" 15 "uORF" 47821677 3 2.5 "CAT"
"22" "ENST00000008527.10" "chr12" 107093197 107093238 "-" 22 "uORF" 107093238 3 1 "CAT"
"23" "ENST00000008527.10" "chr12" 107092996 107093019 "-" 23 "uORF" 107093019 3 1.33333333333333 "CAT"
"24" "ENST00000019103.8" "chr2" 119524417 119524434 "-" 24 "uORF" 119524434 3 0 "CAT"
"25" "ENST00000019103.8" "chr2" 119524294 119524350 "-" 25 "uORF" 119524350 3 1.16666666666667 "CAT"
"26" "ENST00000020673.6" "chr10" 102417053 102417106 "-" 26 "uORF" 102417106 3 2.16666666666667 "CAT"
"27" "ENST00000020945.4" "chr8" 48921330 48921338 "-" 27 "uORF" 48921338 3 1 "CAT"
"28" "ENST00000025008.10" "chr8" 52714164 52714178 "-" 28 "uORF" 52714178 3 0.833333333333333 "CAT"
"29" "ENST00000025008.10" "chr8" 52686898 52714133 "-" 29 "uORF" 52714133 3 2.83333333333333 "CAT"
"30" "ENST00000025008.10" "chr8" 52686909 52686947 "-" 30 "uORF" 52686947 3 1.83333333333333 "CAT"
"32" "ENST00000027335.8" "chr8" 94208508 94208528 "-" 32 "uORF" 94208528 3 0.666666666666667 "CAT"
"43" "ENST00000038176.8" "chr8" 58659814 58659825 "-" 43 "uORF" 58659825 3 0.333333333333333 "CAT"
"45" "ENST00000046794.10" "chr5" 170297634 170297663 "-" 45 "uORF" 170297663 3 4.66666666666667 "CAT"
"46" "ENST00000046794.10" "chr5" 170297634 170297648 "-" 46 "uORF" 170297648 3 -0.333333333333333 "CAT"
"47" "ENST00000052754.10" "chr12" 91182800 91182808 "-" 47 "uORF" 91182808 3 3.5 "CAT"
