"chr" "start" "end" "strand" "transcript_id" "exon_number"
"1" "7" 127588411 127588498 "+" "ENST00000000233.10" 1
"2" "12" 8946405 8946405 "-" "ENST00000000412.8" 2
"3" "12" 8949488 8949645 "-" "ENST00000000412.8" 1
"4" "11" 64305524 64305736 "+" "ENST00000000442.11" 1
"5" "11" 64307168 64307179 "+" "ENST00000000442.11" 2
"6" "12" 2794970 2795139 "+" "ENST00000001008.6" 1
"7" "2" 72147835 72147862 "-" "ENST00000001146.7" 1
"8" "2" 37231658 37231705 "+" "ENST00000002125.9" 1
"9" "6" 143511635 143511720 "-" "ENST00000002165.11" 1
"10" "16" 90019342 90019456 "-" "ENST00000002501.11" 1
"11" "4" 11428699 11428894 "-" "ENST00000002596.6" 1
"12" "4" 11400006 11400113 "-" "ENST00000002596.6" 2
"13" "3" 50155324 50155564 "+" "ENST00000002829.8" 1
"14" "3" 50159575 50159622 "+" "ENST00000002829.8" 2
"15" "7" 117480025 117480094 "+" "ENST00000003084.11" 1
"16" "7" 92134365 92134477 "-" "ENST00000003100.13" 1
"17" "7" 150801536 150801550 "+" "ENST00000004103.8" 2
"18" "7" 150800769 150800828 "+" "ENST00000004103.8" 1
"19" "19" 35757009 35757029 "-" "ENST00000004982.6" 1
"20" "7" 95596294 95596516 "-" "ENST00000005178.6" 1
"21" "7" 75772177 75772211 "-" "ENST00000005180.9" 1
"22" "11" 17544308 17544416 "-" "ENST00000005226.12" 1
"23" "7" 39623572 39623825 "+" "ENST00000005257.7" 1
"24" "7" 39686631 39686667 "+" "ENST00000005257.7" 2
"25" "7" 107580759 107580772 "+" "ENST00000005259.9" 2
"26" "7" 107580246 107580301 "+" "ENST00000005259.9" 1
"27" "7" 98400853 98401090 "-" "ENST00000005260.9" 1
"28" "16" 24256335 24256754 "+" "ENST00000005284.4" 1
"29" "17" 7234263 7234517 "-" "ENST00000005340.10" 1
"30" "12" 47705952 47706030 "-" "ENST00000005386.8" 1
"31" "12" 47702841 47702846 "-" "ENST00000005386.8" 2
"32" "2" 158101876 158102063 "+" "ENST00000005756.5" 1
"33" "16" 2817237 2817268 "+" "ENST00000005995.8" 1
"34" "7" 27185145 27185232 "-" "ENST00000006015.4" 1
"35" "16" 57372490 57372568 "+" "ENST00000006053.7" 1
"36" "17" 50547174 50547208 "+" "ENST00000006658.11" 1
"37" "17" 63932262 63932331 "-" "ENST00000006750.8" 1
"38" "7" 75879034 75879082 "+" "ENST00000006777.11" 1
"39" "16" 787738 787744 "-" "ENST00000007264.7" 2
"40" "16" 788256 788381 "-" "ENST00000007264.7" 1
"41" "16" 1351805 1351878 "-" "ENST00000007390.3" 1
"42" "17" 47820279 47820365 "-" "ENST00000007414.8" 2
"43" "17" 47821666 47821794 "-" "ENST00000007414.8" 1
"44" "19" 35775564 35775658 "+" "ENST00000007510.9" 1
"45" "16" 23596291 23596316 "-" "ENST00000007516.8" 1
"46" "17" 7294501 7294639 "-" "ENST00000007699.10" 1
"47" "17" 41350768 41350828 "-" "ENST00000007735.4" 1
"48" "6" 50713526 50714055 "+" "ENST00000008391.4" 1
"49" "12" 107092962 107093549 "-" "ENST00000008527.10" 1
"50" "19" 46023022 46023053 "-" "ENST00000008938.5" 1
"51" "7" 38207447 38207504 "+" "ENST00000009041.12" 2
