"t_id"	"chromosome"	"g_start_coord_ref"	"g_end_coord_ref"	"strand_mane"	"u_id"	"u_id2"
"1"	"ENST00000000442.11"	"11"	64305559	64305603	"+"	1	"uORF"
"2"	"ENST00000000442.11"	"11"	64305705	64307171	"+"	2	"uORF"
"3"	"ENST00000002596.6"	"4"	11400111	11428758	"-"	3	"uORF"
"4"	"ENST00000002596.6"	"4"	11400080	11400091	"-"	4	"uORF"
"5"	"ENST00000002596.6"	"4"	11400025	11400051	"-"	5	"uORF"
"6"	"ENST00000002829.8"	"3"	50155344	50155379	"+"	6	"uORF"
"7"	"ENST00000002829.8"	"3"	50155468	50155488	"+"	7	"uORF"
"8"	"ENST00000005284.4"	"16"	24256440	24256484	"+"	8	"uORF"
"9"	"ENST00000005284.4"	"16"	24256481	24256690	"+"	9	"uORF"
"10"	"ENST00000005284.4"	"16"	24256518	24256562	"+"	10	"uORF"
"11"	"ENST00000005284.4"	"16"	24256626	24256670	"+"	11	"uORF"
"12"	"ENST00000005756.5"	"2"	158101891	158101914	"+"	12	"uORF"
"13"	"ENST00000005756.5"	"2"	158101978	158101998	"+"	13	"uORF"
"14"	"ENST00000006015.4"	"7"	27185152	27185187	"-"	14	"uORF"
"15"	"ENST00000007414.8"	"17"	47820345	47821677	"-"	15	"uORF"
"16"	"ENST00000007510.9"	"19"	35775584	35775643	"+"	16	"uORF"
"17"	"ENST00000008391.4"	"6"	50713552	50713602	"+"	17	"uORF"
"18"	"ENST00000008391.4"	"6"	50713609	50713635	"+"	18	"uORF"
"19"	"ENST00000008391.4"	"6"	50713628	50713705	"+"	19	"uORF"
"20"	"ENST00000008391.4"	"6"	50713638	50713667	"+"	20	"uORF"
"21"	"ENST00000008391.4"	"6"	50713744	50713929	"+"	21	"uORF"
"22"	"ENST00000008527.10"	"12"	107093197	107093238	"-"	22	"uORF"
"23"	"ENST00000008527.10"	"12"	107092996	107093019	"-"	23	"uORF"
"24"	"ENST00000019103.8"	"2"	119524417	119524434	"-"	24	"uORF"
"25"	"ENST00000019103.8"	"2"	119524294	119524350	"-"	25	"uORF"
"26"	"ENST00000020673.6"	"10"	102417053	102417106	"-"	26	"uORF"
"27"	"ENST00000020945.4"	"8"	48921330	48921338	"-"	27	"uORF"
"28"	"ENST00000025008.10"	"8"	52714164	52714178	"-"	28	"uORF"
"29"	"ENST00000025008.10"	"8"	52686898	52714133	"-"	29	"uORF"
"30"	"ENST00000025008.10"	"8"	52686909	52686947	"-"	30	"uORF"
"31"	"ENST00000025301.4"	"13"	42272196	42286012	"+"	31	"uORF"
"32"	"ENST00000027335.8"	"8"	94208508	94208528	"-"	32	"uORF"
"33"	"ENST00000035307.7"	"7"	151232765	151232908	"+"	33	"uORF"
"34"	"ENST00000035307.7"	"7"	151233233	151233289	"+"	34	"uORF"
"35"	"ENST00000035307.7"	"7"	151233245	151233289	"+"	35	"uORF"
"36"	"ENST00000035307.7"	"7"	151233260	151233289	"+"	36	"uORF"
"37"	"ENST00000035307.7"	"7"	151233325	151233360	"+"	37	"uORF"
"38"	"ENST00000035307.7"	"7"	151233334	151233360	"+"	38	"uORF"
"39"	"ENST00000035307.7"	"7"	151233502	151233633	"+"	39	"uORF"
"40"	"ENST00000035307.7"	"7"	151233578	151233628	"+"	40	"uORF"
"41"	"ENST00000035307.7"	"7"	151233647	151233712	"+"	41	"uORF"
"42"	"ENST00000035307.7"	"7"	151233852	151233920	"+"	42	"uORF"
"43"	"ENST00000038176.8"	"8"	58659814	58659825	"-"	43	"uORF"
"44"	"ENST00000046640.9"	"17"	3636789	3637243	"+"	44	"uORF"
"45"	"ENST00000046794.10"	"5"	170297634	170297663	"-"	45	"uORF"
"46"	"ENST00000046794.10"	"5"	170297634	170297648	"-"	46	"uORF"
"47"	"ENST00000052754.10"	"12"	91182800	91182808	"-"	47	"uORF"
"48"	"ENST00000052754.10"	"12"	91178556	91178564	"-"	48	"uORF"
"49"	"ENST00000054650.9"	"1"	6624894	6624929	"+"	49	"uORF"
"50"	"ENST00000055682.12"	"X"	74925019	74925060	"-"	50	"uORF"
"51"	"ENST00000055682.12"	"X"	74745663	74745674	"-"	51	"uORF"
"52"	"ENST00000057513.8"	"4"	121164246	121164278	"-"	52	"uORF"
"53"	"ENST00000057513.8"	"4"	121164241	121164249	"-"	53	"uORF"
"54"	"ENST00000057513.8"	"4"	121164221	121164235	"-"	54	"uORF"
"55"	"ENST00000060969.6"	"1"	114780643	114780684	"-"	55	"uORF"
"56"	"ENST00000061240.7"	"4"	165873331	165873384	"+"	56	"uORF"
"57"	"ENST00000061240.7"	"4"	165873376	165873384	"+"	57	"uORF"
"58"	"ENST00000061240.7"	"4"	165873384	165873518	"+"	58	"uORF"
