"gene_id" "number_uORF"
"1" "ENSG00000000457" 1
"2" "ENSG00000001461" 1
"3" "ENSG00000001617" 2
"4" "ENSG00000001629" 2
"5" "ENSG00000001631" 1
"6" "ENSG00000002016" 1
"7" "ENSG00000002330" 1
"8" "ENSG00000002587" 1
"9" "ENSG00000002822" 1
"10" "ENSG00000002919" 1
"11" "ENSG00000003137" 1
"12" "ENSG00000003393" 2
"13" "ENSG00000003400" 1
"14" "ENSG00000003402" 3
"15" "ENSG00000004866" 2
"16" "ENSG00000005102" 2
"17" "ENSG00000005187" 3
"18" "ENSG00000005238" 2
"19" "ENSG00000005339" 2
"20" "ENSG00000005700" 1
"21" "ENSG00000005801" 1
"22" "ENSG00000005812" 1
"23" "ENSG00000005889" 1
"24" "ENSG00000006042" 2
"25" "ENSG00000006118" 1
"26" "ENSG00000006125" 2
"27" "ENSG00000006194" 2
"28" "ENSG00000006451" 2
"29" "ENSG00000006468" 2
"30" "ENSG00000006576" 1
"31" "ENSG00000006652" 2
"32" "ENSG00000006695" 1
"33" "ENSG00000006757" 1
"34" "ENSG00000007062" 1
"35" "ENSG00000007168" 2
"36" "ENSG00000007237" 2
"37" "ENSG00000007255" 1
"38" "ENSG00000007341" 1
"39" "ENSG00000008130" 1
"40" "ENSG00000008405" 1
"41" "ENSG00000008441" 2
"42" "ENSG00000008513" 2
"43" "ENSG00000008710" 1
"44" "ENSG00000008838" 1
"45" "ENSG00000009307" 3
"46" "ENSG00000009413" 2
"47" "ENSG00000009954" 1
"48" "ENSG00000010072" 2
"49" "ENSG00000010165" 3
"50" "ENSG00000010244" 1
"51" "ENSG00000010292" 2
"52" "ENSG00000010361" 1
"53" "ENSG00000010626" 2
"54" "ENSG00000010803" 2
"55" "ENSG00000010810" 1
"56" "ENSG00000010818" 2
"57" "ENSG00000011114" 1
"58" "ENSG00000011132" 1
"59" "ENSG00000011258" 1
"60" "ENSG00000011376" 2
"61" "ENSG00000011405" 1
"62" "ENSG00000011454" 1
"63" "ENSG00000011465" 3
"64" "ENSG00000011523" 1
"65" "ENSG00000011638" 2
"66" "ENSG00000012048" 1
"67" "ENSG00000012061" 3
"68" "ENSG00000012171" 2
"69" "ENSG00000012211" 1
"70" "ENSG00000012817" 1
"71" "ENSG00000012983" 1
"72" "ENSG00000013016" 2
"73" "ENSG00000013293" 1
"74" "ENSG00000013306" 1
"75" "ENSG00000013561" 1
"76" "ENSG00000013563" 1
"77" "ENSG00000013619" 1
"78" "ENSG00000013810" 2
"79" "ENSG00000014914" 1
"80" "ENSG00000015171" 1
"81" "ENSG00000017797" 1
"82" "ENSG00000019582" 1
"83" "ENSG00000020181" 1
"84" "ENSG00000020426" 1
"85" "ENSG00000020577" 2
"86" "ENSG00000021355" 1
"87" "ENSG00000021645" 1
"88" "ENSG00000022267" 2
"89" "ENSG00000022567" 1
"90" "ENSG00000023041" 3
"91" "ENSG00000023287" 2
"92" "ENSG00000023330" 1
"93" "ENSG00000023516" 1
"94" "ENSG00000023909" 1
"95" "ENSG00000024048" 1
"96" "ENSG00000024526" 1
"97" "ENSG00000025293" 2
"98" "ENSG00000025423" 2
"99" "ENSG00000025770" 1
"100" "ENSG00000025796" 1
"101" "ENSG00000026036" 1
"102" "ENSG00000026297" 1
"103" "ENSG00000026950" 1
"104" "ENSG00000027075" 2
"105" "ENSG00000028839" 3
"106" "ENSG00000029364" 1
"107" "ENSG00000029534" 2
"108" "ENSG00000029725" 1
"109" "ENSG00000030110" 1
"110" "ENSG00000030582" 1
"111" "ENSG00000031003" 1
"112" "ENSG00000031081" 1
"113" "ENSG00000031691" 1
"114" "ENSG00000032219" 2
"115" "ENSG00000032389" 1
"116" "ENSG00000032742" 1
"117" "ENSG00000033050" 1
"118" "ENSG00000033100" 5
"119" "ENSG00000033170" 3
"120" "ENSG00000033627" 1
"121" "ENSG00000034152" 1
"122" "ENSG00000034533" 1
"123" "ENSG00000035115" 1
"124" "ENSG00000035687" 1
"125" "ENSG00000035928" 1
"126" "ENSG00000036257" 1
"127" "ENSG00000036549" 4
"128" "ENSG00000037042" 1
"129" "ENSG00000037749" 1
"130" "ENSG00000037897" 1
"131" "ENSG00000038219" 1
"132" "ENSG00000038382" 1
"133" "ENSG00000038427" 1
"134" "ENSG00000038532" 2
"135" "ENSG00000039537" 1
"136" "ENSG00000040275" 1
"137" "ENSG00000040731" 1
"138" "ENSG00000040933" 1
"139" "ENSG00000041880" 3
"140" "ENSG00000041982" 1
"141" "ENSG00000042062" 1
"142" "ENSG00000042753" 1
"143" "ENSG00000043462" 1
"144" "ENSG00000046647" 1
"145" "ENSG00000046653" 1
"146" "ENSG00000047056" 2
"147" "ENSG00000047188" 1
"148" "ENSG00000047315" 1
"149" "ENSG00000047365" 1
"150" "ENSG00000047644" 1
"151" "ENSG00000047648" 1
"152" "ENSG00000047849" 1
"153" "ENSG00000048052" 2
"154" "ENSG00000048405" 1
"155" "ENSG00000048540" 1
"156" "ENSG00000048649" 1
"157" "ENSG00000048740" 1
"158" "ENSG00000048828" 1
"159" "ENSG00000048991" 1
"160" "ENSG00000049192" 1
"161" "ENSG00000049246" 1
"162" "ENSG00000049540" 1
"163" "ENSG00000049618" 1
"164" "ENSG00000049656" 1
"165" "ENSG00000050130" 1
"166" "ENSG00000051009" 1
"167" "ENSG00000051382" 2
"168" "ENSG00000052802" 1
"169" "ENSG00000053770" 1
"170" "ENSG00000053918" 1
"171" "ENSG00000054118" 1
"172" "ENSG00000054282" 2
"173" "ENSG00000054523" 2
"174" "ENSG00000054598" 1
"175" "ENSG00000054654" 1
"176" "ENSG00000055147" 2
"177" "ENSG00000055208" 3
"178" "ENSG00000055917" 1
"179" "ENSG00000056558" 1
"180" "ENSG00000056586" 1
"181" "ENSG00000056972" 1
"182" "ENSG00000057252" 1
"183" "ENSG00000058063" 1
"184" "ENSG00000058085" 1
"185" "ENSG00000058091" 1
"186" "ENSG00000058600" 1
"187" "ENSG00000058668" 2
"188" "ENSG00000058673" 2
"189" "ENSG00000058799" 1
"190" "ENSG00000058866" 2
"191" "ENSG00000059122" 1
"192" "ENSG00000059145" 1
"193" "ENSG00000059758" 1
"194" "ENSG00000059804" 1
"195" "ENSG00000060237" 3
"196" "ENSG00000060339" 1
"197" "ENSG00000060718" 2
"198" "ENSG00000060749" 1
"199" "ENSG00000060971" 1
"200" "ENSG00000060982" 1
"201" "ENSG00000061273" 1
"202" "ENSG00000061936" 1
"203" "ENSG00000061987" 1
"204" "ENSG00000062194" 2
"205" "ENSG00000062650" 2
"206" "ENSG00000063176" 2
"207" "ENSG00000063177" 1
"208" "ENSG00000063245" 1
"209" "ENSG00000063601" 1
"210" "ENSG00000064042" 2
"211" "ENSG00000064102" 1
"212" "ENSG00000064225" 1
"213" "ENSG00000064313" 1
"214" "ENSG00000064419" 1
"215" "ENSG00000064726" 1
"216" "ENSG00000064932" 1
"217" "ENSG00000064989" 2
"218" "ENSG00000065029" 2
"219" "ENSG00000065060" 1
"220" "ENSG00000065183" 1
"221" "ENSG00000065243" 2
"222" "ENSG00000065268" 1
"223" "ENSG00000065427" 1
"224" "ENSG00000065457" 1
"225" "ENSG00000065491" 1
"226" "ENSG00000065882" 1
"227" "ENSG00000065970" 2
"228" "ENSG00000066027" 3
"229" "ENSG00000066084" 1
"230" "ENSG00000066136" 1
"231" "ENSG00000066382" 1
"232" "ENSG00000066697" 1
"233" "ENSG00000066777" 2
"234" "ENSG00000066933" 1
"235" "ENSG00000067057" 1
"236" "ENSG00000067167" 1
"237" "ENSG00000067177" 1
"238" "ENSG00000067225" 1
"239" "ENSG00000067365" 2
"240" "ENSG00000067369" 1
"241" "ENSG00000067900" 3
"242" "ENSG00000068001" 1
"243" "ENSG00000068024" 1
"244" "ENSG00000068305" 1
"245" "ENSG00000068308" 1
"246" "ENSG00000068383" 1
"247" "ENSG00000068438" 2
"248" "ENSG00000068650" 1
"249" "ENSG00000068781" 1
"250" "ENSG00000068885" 2
"251" "ENSG00000068903" 1
"252" "ENSG00000068971" 2
"253" "ENSG00000069020" 2
"254" "ENSG00000069122" 3
"255" "ENSG00000069399" 1
"256" "ENSG00000069424" 1
"257" "ENSG00000069431" 1
"258" "ENSG00000069493" 2
"259" "ENSG00000069509" 1
"260" "ENSG00000069943" 1
"261" "ENSG00000069956" 2
"262" "ENSG00000070018" 1
"263" "ENSG00000070193" 1
"264" "ENSG00000070367" 1
"265" "ENSG00000070413" 1
"266" "ENSG00000070614" 4
"267" "ENSG00000070669" 1
"268" "ENSG00000070718" 1
"269" "ENSG00000070778" 1
"270" "ENSG00000070882" 2
"271" "ENSG00000070961" 1
"272" "ENSG00000071051" 1
"273" "ENSG00000071073" 2
"274" "ENSG00000071189" 1
"275" "ENSG00000071242" 1
"276" "ENSG00000071246" 2
"277" "ENSG00000071575" 1
"278" "ENSG00000071991" 3
"279" "ENSG00000072041" 1
"280" "ENSG00000072110" 1
"281" "ENSG00000072121" 1
"282" "ENSG00000072134" 2
"283" "ENSG00000072201" 2
"284" "ENSG00000072210" 1
"285" "ENSG00000072310" 1
"286" "ENSG00000072364" 3
"287" "ENSG00000072415" 2
"288" "ENSG00000072422" 2
"289" "ENSG00000072501" 1
"290" "ENSG00000072518" 1
"291" "ENSG00000072682" 2
"292" "ENSG00000073464" 2
"293" "ENSG00000073605" 1
"294" "ENSG00000073711" 2
"295" "ENSG00000073803" 1
"296" "ENSG00000073849" 5
"297" "ENSG00000073910" 2
"298" "ENSG00000074047" 1
"299" "ENSG00000074054" 2
"300" "ENSG00000074416" 1
"301" "ENSG00000074527" 1
"302" "ENSG00000074582" 1
"303" "ENSG00000074590" 1
"304" "ENSG00000074603" 2
"305" "ENSG00000075151" 1
"306" "ENSG00000075213" 2
"307" "ENSG00000075292" 2
"308" "ENSG00000075336" 1
"309" "ENSG00000075340" 2
"310" "ENSG00000075399" 1
"311" "ENSG00000075407" 1
"312" "ENSG00000075539" 1
"313" "ENSG00000075568" 1
"314" "ENSG00000075711" 2
"315" "ENSG00000075790" 2
"316" "ENSG00000075945" 1
"317" "ENSG00000076067" 1
"318" "ENSG00000076108" 1
"319" "ENSG00000076321" 1
"320" "ENSG00000076382" 1
"321" "ENSG00000076641" 2
"322" "ENSG00000076685" 1
"323" "ENSG00000077092" 2
"324" "ENSG00000077097" 1
"325" "ENSG00000077157" 4
"326" "ENSG00000077232" 1
"327" "ENSG00000077254" 1
"328" "ENSG00000077312" 1
"329" "ENSG00000077420" 1
"330" "ENSG00000077782" 1
"331" "ENSG00000078061" 2
"332" "ENSG00000078369" 2
"333" "ENSG00000078399" 1
"334" "ENSG00000078403" 1
"335" "ENSG00000078618" 1
"336" "ENSG00000078668" 2
"337" "ENSG00000078674" 2
"338" "ENSG00000078699" 1
"339" "ENSG00000078747" 1
"340" "ENSG00000078804" 1
"341" "ENSG00000078808" 2
"342" "ENSG00000079102" 1
"343" "ENSG00000079277" 1
"344" "ENSG00000079308" 1
"345" "ENSG00000079387" 1
"346" "ENSG00000079819" 1
"347" "ENSG00000079950" 1
"348" "ENSG00000080189" 2
"349" "ENSG00000080345" 1
"350" "ENSG00000080503" 2
"351" "ENSG00000080546" 1
"352" "ENSG00000080561" 1
"353" "ENSG00000080709" 2
"354" "ENSG00000080802" 1
"355" "ENSG00000080823" 2
"356" "ENSG00000080824" 1
"357" "ENSG00000081177" 1
"358" "ENSG00000081237" 1
"359" "ENSG00000081842" 1
"360" "ENSG00000081923" 1
"361" "ENSG00000082126" 1
"362" "ENSG00000082153" 1
"363" "ENSG00000082458" 1
"364" "ENSG00000082482" 2
"365" "ENSG00000082497" 1
"366" "ENSG00000082641" 1
"367" "ENSG00000082781" 2
"368" "ENSG00000082898" 2
"369" "ENSG00000082996" 1
"370" "ENSG00000083097" 2
"371" "ENSG00000083168" 3
"372" "ENSG00000083720" 1
"373" "ENSG00000083750" 2
"374" "ENSG00000083799" 2
"375" "ENSG00000083857" 3
"376" "ENSG00000083896" 1
"377" "ENSG00000084073" 1
"378" "ENSG00000084090" 2
"379" "ENSG00000084093" 1
"380" "ENSG00000084234" 1
"381" "ENSG00000084463" 1
"382" "ENSG00000084676" 1
"383" "ENSG00000084731" 2
"384" "ENSG00000084754" 1
"385" "ENSG00000085274" 3
"386" "ENSG00000085276" 3
"387" "ENSG00000085511" 1
"388" "ENSG00000085760" 3
"389" "ENSG00000085788" 3
"390" "ENSG00000085998" 1
"391" "ENSG00000086062" 1
"392" "ENSG00000086200" 1
"393" "ENSG00000086289" 1
"394" "ENSG00000086666" 2
"395" "ENSG00000086730" 1
"396" "ENSG00000086758" 3
"397" "ENSG00000086848" 1
"398" "ENSG00000087053" 1
"399" "ENSG00000087074" 3
"400" "ENSG00000087095" 2
"401" "ENSG00000087152" 1
"402" "ENSG00000087191" 1
"403" "ENSG00000087245" 1
"404" "ENSG00000087274" 2
"405" "ENSG00000087299" 1
"406" "ENSG00000087301" 1
"407" "ENSG00000087338" 1
"408" "ENSG00000087494" 2
"409" "ENSG00000087502" 2
"410" "ENSG00000088038" 1
"411" "ENSG00000088179" 1
"412" "ENSG00000088298" 1
"413" "ENSG00000088320" 1
"414" "ENSG00000088727" 3
"415" "ENSG00000088766" 1
"416" "ENSG00000088854" 1
"417" "ENSG00000088876" 1
"418" "ENSG00000088899" 1
"419" "ENSG00000089009" 1
"420" "ENSG00000089022" 1
"421" "ENSG00000089057" 1
"422" "ENSG00000089159" 4
"423" "ENSG00000089163" 1
"424" "ENSG00000089225" 2
"425" "ENSG00000089289" 1
"426" "ENSG00000089327" 1
"427" "ENSG00000089335" 1
"428" "ENSG00000089472" 2
"429" "ENSG00000089876" 1
"430" "ENSG00000089902" 1
"431" "ENSG00000090061" 2
"432" "ENSG00000090565" 2
"433" "ENSG00000090612" 1
"434" "ENSG00000090615" 2
"435" "ENSG00000090661" 2
"436" "ENSG00000090776" 1
"437" "ENSG00000090857" 1
"438" "ENSG00000090905" 1
"439" "ENSG00000090924" 1
"440" "ENSG00000090975" 1
"441" "ENSG00000090989" 1
"442" "ENSG00000091129" 1
"443" "ENSG00000091164" 1
"444" "ENSG00000091436" 1
"445" "ENSG00000091542" 3
"446" "ENSG00000091592" 1
"447" "ENSG00000091640" 1
"448" "ENSG00000091831" 1
"449" "ENSG00000091986" 7
"450" "ENSG00000092020" 2
"451" "ENSG00000092051" 1
"452" "ENSG00000092068" 2
"453" "ENSG00000092098" 1
"454" "ENSG00000092148" 1
"455" "ENSG00000092199" 2
"456" "ENSG00000092203" 1
"457" "ENSG00000092377" 1
"458" "ENSG00000092421" 1
"459" "ENSG00000092529" 1
"460" "ENSG00000092531" 1
"461" "ENSG00000092621" 1
"462" "ENSG00000092841" 1
"463" "ENSG00000092847" 1
"464" "ENSG00000092871" 1
"465" "ENSG00000092931" 1
"466" "ENSG00000092969" 1
"467" "ENSG00000092978" 1
"468" "ENSG00000093000" 1
"469" "ENSG00000093167" 1
"470" "ENSG00000094916" 3
"471" "ENSG00000095574" 1
"472" "ENSG00000095585" 1
"473" "ENSG00000095587" 1
"474" "ENSG00000095739" 1
"475" "ENSG00000095752" 1
"476" "ENSG00000096060" 2
"477" "ENSG00000096384" 1
"478" "ENSG00000097007" 2
"479" "ENSG00000099203" 1
"480" "ENSG00000099204" 1
"481" "ENSG00000099250" 1
"482" "ENSG00000099326" 3
"483" "ENSG00000099800" 2
"484" "ENSG00000099875" 1
"485" "ENSG00000099991" 1
"486" "ENSG00000100029" 1
"487" "ENSG00000100034" 1
"488" "ENSG00000100038" 1
"489" "ENSG00000100079" 1
"490" "ENSG00000100084" 2
"491" "ENSG00000100099" 4
"492" "ENSG00000100124" 1
"493" "ENSG00000100139" 1
"494" "ENSG00000100150" 1
"495" "ENSG00000100170" 1
"496" "ENSG00000100221" 2
"497" "ENSG00000100239" 1
"498" "ENSG00000100241" 1
"499" "ENSG00000100242" 1
"500" "ENSG00000100246" 1
"501" "ENSG00000100266" 1
"502" "ENSG00000100271" 1
"503" "ENSG00000100281" 1
"504" "ENSG00000100296" 1
"505" "ENSG00000100307" 1
"506" "ENSG00000100320" 1
"507" "ENSG00000100330" 1
"508" "ENSG00000100345" 1
"509" "ENSG00000100354" 1
"510" "ENSG00000100359" 1
"511" "ENSG00000100368" 2
"512" "ENSG00000100376" 1
"513" "ENSG00000100393" 1
"514" "ENSG00000100401" 1
"515" "ENSG00000100425" 1
"516" "ENSG00000100427" 1
"517" "ENSG00000100439" 1
"518" "ENSG00000100441" 2
"519" "ENSG00000100478" 1
"520" "ENSG00000100503" 1
"521" "ENSG00000100554" 1
"522" "ENSG00000100568" 1
"523" "ENSG00000100575" 2
"524" "ENSG00000100591" 1
"525" "ENSG00000100592" 1
"526" "ENSG00000100599" 1
"527" "ENSG00000100614" 1
"528" "ENSG00000100628" 1
"529" "ENSG00000100629" 1
"530" "ENSG00000100731" 1
"531" "ENSG00000100796" 3
"532" "ENSG00000100802" 1
"533" "ENSG00000100804" 3
"534" "ENSG00000100814" 2
"535" "ENSG00000100888" 1
"536" "ENSG00000100890" 1
"537" "ENSG00000100897" 3
"538" "ENSG00000100916" 1
"539" "ENSG00000100926" 1
"540" "ENSG00000100938" 3
"541" "ENSG00000100949" 1
"542" "ENSG00000100979" 1
"543" "ENSG00000100982" 2
"544" "ENSG00000101052" 2
"545" "ENSG00000101109" 1
"546" "ENSG00000101126" 1
"547" "ENSG00000101138" 2
"548" "ENSG00000101191" 2
"549" "ENSG00000101220" 1
"550" "ENSG00000101224" 2
"551" "ENSG00000101236" 1
"552" "ENSG00000101276" 1
"553" "ENSG00000101310" 1
"554" "ENSG00000101311" 1
"555" "ENSG00000101384" 1
"556" "ENSG00000101391" 1
"557" "ENSG00000101463" 5
"558" "ENSG00000101544" 1
"559" "ENSG00000101574" 1
"560" "ENSG00000101605" 4
"561" "ENSG00000101608" 2
"562" "ENSG00000101665" 2
"563" "ENSG00000101745" 2
"564" "ENSG00000101752" 1
"565" "ENSG00000101871" 1
"566" "ENSG00000101888" 1
"567" "ENSG00000101928" 1
"568" "ENSG00000101940" 1
"569" "ENSG00000101945" 1
"570" "ENSG00000101966" 1
"571" "ENSG00000101972" 1
"572" "ENSG00000101974" 1
"573" "ENSG00000101986" 1
"574" "ENSG00000101997" 1
"575" "ENSG00000102034" 1
"576" "ENSG00000102119" 1
"577" "ENSG00000102225" 2
"578" "ENSG00000102241" 1
"579" "ENSG00000102317" 1
"580" "ENSG00000102359" 4
"581" "ENSG00000102383" 1
"582" "ENSG00000102385" 2
"583" "ENSG00000102466" 1
"584" "ENSG00000102468" 1
"585" "ENSG00000102524" 1
"586" "ENSG00000102531" 1
"587" "ENSG00000102547" 1
