"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_start" "aug_end" "cadd_start" "stop" "stop_end" "cadd_stop"
"3" "ENST00000002596.6" "4" 11400111 11428758 "-" 3 "uORF" 11428756 11428758 1.97521533333333 11400111 11400113 0.584185555555556
"4" "ENST00000002596.6" "4" 11400080 11400091 "-" 4 "uORF" 11400089 11400091 1.00636344444444 11400080 11400082 0.795089555555556
"5" "ENST00000002596.6" "4" 11400025 11400051 "-" 5 "uORF" 11400049 11400051 1.24786833333333 11400025 11400027 1.26589733333333
"14" "ENST00000006015.4" "7" 27185152 27185187 "-" 14 "uORF" 27185185 27185187 2.31226244444444 27185152 27185154 2.23245566666667
"15" "ENST00000007414.8" "17" 47820345 47821677 "-" 15 "uORF" 47821675 47821677 1.81132344444445 47820345 47820347 1.950426
"22" "ENST00000008527.10" "12" 107093197 107093238 "-" 22 "uORF" 107093236 107093238 1.69871733333333 107093197 107093199 1.93531144444445
"23" "ENST00000008527.10" "12" 107092996 107093019 "-" 23 "uORF" 107093017 107093019 1.46270422222222 107092996 107092998 1.38420066666667
"24" "ENST00000019103.8" "2" 119524417 119524434 "-" 24 "uORF" 119524432 119524434 1.07458355555555 119524417 119524419 0.838928777777778
"25" "ENST00000019103.8" "2" 119524294 119524350 "-" 25 "uORF" 119524348 119524350 1.39444644444444 119524294 119524296 1.05706533333333
"26" "ENST00000020673.6" "10" 102417053 102417106 "-" 26 "uORF" 102417104 102417106 1.89033011111111 102417053 102417055 1.88132755555556
"27" "ENST00000020945.4" "8" 48921330 48921338 "-" 27 "uORF" 48921336 48921338 2.19709322222222 48921330 48921332 2.18575077777778
"28" "ENST00000025008.10" "8" 52714164 52714178 "-" 28 "uORF" 52714176 52714178 2.05092166666667 52714164 52714166 2.30693066666667
"29" "ENST00000025008.10" "8" 52686898 52714133 "-" 29 "uORF" 52714131 52714133 2.36424744444444 52686898 52686900 1.80256233333333
"30" "ENST00000025008.10" "8" 52686909 52686947 "-" 30 "uORF" 52686945 52686947 1.88003544444444 52686909 52686911 1.84741244444445
"32" "ENST00000027335.8" "8" 94208508 94208528 "-" 32 "uORF" 94208526 94208528 1.42225144444444 94208508 94208510 1.12716988888889
"43" "ENST00000038176.8" "8" 58659814 58659825 "-" 43 "uORF" 58659823 58659825 1.851976 58659814 58659816 2.08423255555555
"45" "ENST00000046794.10" "5" 170297634 170297663 "-" 45 "uORF" 170297661 170297663 1.56916066666667 170297634 170297636 2.07163777777778
"46" "ENST00000046794.10" "5" 170297634 170297648 "-" 46 "uORF" 170297646 170297648 0.591546888888889 170297634 170297636 2.07163777777778
"47" "ENST00000052754.10" "12" 91182800 91182808 "-" 47 "uORF" 91182806 91182808 2.12830722222222 91182800 91182802 2.15018866666667
"48" "ENST00000052754.10" "12" 91178556 91178564 "-" 48 "uORF" 91178562 91178564 1.74439288888889 91178556 91178558 1.86867311111111
"50" "ENST00000055682.12" "X" 74925019 74925060 "-" 50 "uORF" 74925058 74925060 1.812894 74925019 74925021 1.45677644444445
"51" "ENST00000055682.12" "X" 74745663 74745674 "-" 51 "uORF" 74745672 74745674 1.795979 74745663 74745665 1.66518322222222
