"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_end" "stop_end" "cadd"
"1" "ENST00000000442.11" "11" 64305559 64305603 "+" 1 "uORF" 64305561 64305605 2.41312077777778
"2" "ENST00000000442.11" "11" 64305705 64307171 "+" 2 "uORF" 64305707 64307173 1.84208955555555
"6" "ENST00000002829.8" "3" 50155344 50155379 "+" 6 "uORF" 50155346 50155381 2.19031155555556
"7" "ENST00000002829.8" "3" 50155468 50155488 "+" 7 "uORF" 50155470 50155490 2.14919455555556
"8" "ENST00000005284.4" "16" 24256440 24256484 "+" 8 "uORF" 24256442 24256486 1.91169188888889
"9" "ENST00000005284.4" "16" 24256481 24256690 "+" 9 "uORF" 24256483 24256692 1.93857811111111
"10" "ENST00000005284.4" "16" 24256518 24256562 "+" 10 "uORF" 24256520 24256564 1.88310477777778
"11" "ENST00000005284.4" "16" 24256626 24256670 "+" 11 "uORF" 24256628 24256672 1.65712988888889
"12" "ENST00000005756.5" "2" 158101891 158101914 "+" 12 "uORF" 158101893 158101916 0.347800444444445
"13" "ENST00000005756.5" "2" 158101978 158101998 "+" 13 "uORF" 158101980 158102000 0.446246222222222
"16" "ENST00000007510.9" "19" 35775584 35775643 "+" 16 "uORF" 35775586 35775645 2.55701577777778
"17" "ENST00000008391.4" "6" 50713552 50713602 "+" 17 "uORF" 50713554 50713604 1.40265633333333
"18" "ENST00000008391.4" "6" 50713609 50713635 "+" 18 "uORF" 50713611 50713637 1.69702566666667
"19" "ENST00000008391.4" "6" 50713628 50713705 "+" 19 "uORF" 50713630 50713707 1.629208
"20" "ENST00000008391.4" "6" 50713638 50713667 "+" 20 "uORF" 50713640 50713669 1.84254488888889
"21" "ENST00000008391.4" "6" 50713744 50713929 "+" 21 "uORF" 50713746 50713931 1.91869355555556
"31" "ENST00000025301.4" "13" 42272196 42286012 "+" 31 "uORF" 42272198 42286014 2.16515911111111
"33" "ENST00000035307.7" "7" 151232765 151232908 "+" 33 "uORF" 151232767 151232910 0.649916111111111
"34" "ENST00000035307.7" "7" 151233233 151233289 "+" 34 "uORF" 151233235 151233291 0.549625333333333
"35" "ENST00000035307.7" "7" 151233245 151233289 "+" 35 "uORF" 151233247 151233291 1.25420577777778
"36" "ENST00000035307.7" "7" 151233260 151233289 "+" 36 "uORF" 151233262 151233291 0.377649333333334
"37" "ENST00000035307.7" "7" 151233325 151233360 "+" 37 "uORF" 151233327 151233362 1.36591722222222
"38" "ENST00000035307.7" "7" 151233334 151233360 "+" 38 "uORF" 151233336 151233362 1.443572
