"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_start" "aug_end" "cadd_start"
"3" "ENST00000002596.6" "4" 11400111 11428758 "-" 3 "uORF" 11428756 11428758 1.97521533333333
"4" "ENST00000002596.6" "4" 11400080 11400091 "-" 4 "uORF" 11400089 11400091 1.00636344444444
"5" "ENST00000002596.6" "4" 11400025 11400051 "-" 5 "uORF" 11400049 11400051 1.24786833333333
"14" "ENST00000006015.4" "7" 27185152 27185187 "-" 14 "uORF" 27185185 27185187 2.31226244444444
"15" "ENST00000007414.8" "17" 47820345 47821677 "-" 15 "uORF" 47821675 47821677 1.81132344444445
"22" "ENST00000008527.10" "12" 107093197 107093238 "-" 22 "uORF" 107093236 107093238 1.69871733333333
"23" "ENST00000008527.10" "12" 107092996 107093019 "-" 23 "uORF" 107093017 107093019 1.46270422222222
"24" "ENST00000019103.8" "2" 119524417 119524434 "-" 24 "uORF" 119524432 119524434 1.07458355555555
"25" "ENST00000019103.8" "2" 119524294 119524350 "-" 25 "uORF" 119524348 119524350 1.39444644444444
"26" "ENST00000020673.6" "10" 102417053 102417106 "-" 26 "uORF" 102417104 102417106 1.89033011111111
"27" "ENST00000020945.4" "8" 48921330 48921338 "-" 27 "uORF" 48921336 48921338 2.19709322222222
"28" "ENST00000025008.10" "8" 52714164 52714178 "-" 28 "uORF" 52714176 52714178 2.05092166666667
"29" "ENST00000025008.10" "8" 52686898 52714133 "-" 29 "uORF" 52714131 52714133 2.36424744444444
"30" "ENST00000025008.10" "8" 52686909 52686947 "-" 30 "uORF" 52686945 52686947 1.88003544444444
"32" "ENST00000027335.8" "8" 94208508 94208528 "-" 32 "uORF" 94208526 94208528 1.42225144444444
"43" "ENST00000038176.8" "8" 58659814 58659825 "-" 43 "uORF" 58659823 58659825 1.851976
"45" "ENST00000046794.10" "5" 170297634 170297663 "-" 45 "uORF" 170297661 170297663 1.56916066666667
"46" "ENST00000046794.10" "5" 170297634 170297648 "-" 46 "uORF" 170297646 170297648 0.591546888888889
"47" "ENST00000052754.10" "12" 91182800 91182808 "-" 47 "uORF" 91182806 91182808 2.12830722222222
"48" "ENST00000052754.10" "12" 91178556 91178564 "-" 48 "uORF" 91178562 91178564 1.74439288888889
"50" "ENST00000055682.12" "X" 74925019 74925060 "-" 50 "uORF" 74925058 74925060 1.812894
"51" "ENST00000055682.12" "X" 74745663 74745674 "-" 51 "uORF" 74745672 74745674 1.795979
"52" "ENST00000057513.8" "4" 121164246 121164278 "-" 52 "uORF" 121164276 121164278 0.127016222222222
"53" "ENST00000057513.8" "4" 121164241 121164249 "-" 53 "uORF" 121164247 121164249 0.275306444444445
"54" "ENST00000057513.8" "4" 121164221 121164235 "-" 54 "uORF" 121164233 121164235 -0.168290222222222
"55" "ENST00000060969.6" "1" 114780643 114780684 "-" 55 "uORF" 114780682 114780684 0.452614888888889
"60" "ENST00000064571.3" "20" 56005036 56005092 "-" 60 "uORF" 56005090 56005092 1.07136566666667
"61" "ENST00000064571.3" "20" 56004677 56004730 "-" 61 "uORF" 56004728 56004730 1.10073177777778
"62" "ENST00000064571.3" "20" 56004395 56004490 "-" 62 "uORF" 56004488 56004490 0.266086333333334
"63" "ENST00000064571.3" "20" 56004435 56004479 "-" 63 "uORF" 56004477 56004479 1.08025611111111
"64" "ENST00000064571.3" "20" 56004267 56004398 "-" 64 "uORF" 56004396 56004398 1.882325
"65" "ENST00000066544.8" "17" 47189182 47189250 "-" 65 "uORF" 47189248 47189250 2.40677933333333
"66" "ENST00000072644.7" "1" 53889353 53889463 "-" 66 "uORF" 53889461 53889463 1.95127333333333
"68" "ENST00000075120.12" "12" 7936175 7936183 "-" 68 "uORF" 7936181 7936183 0.509322111111111
"69" "ENST00000075120.12" "12" 7936125 7936175 "-" 69 "uORF" 7936173 7936175 0.161263555555556
"70" "ENST00000075503.8" "12" 10637129 10637140 "-" 70 "uORF" 10637138 10637140 -0.0663991111111112
"71" "ENST00000075503.8" "12" 10634644 10637123 "-" 71 "uORF" 10637121 10637123 -0.062148111111111
"72" "ENST00000075503.8" "12" 10637092 10637100 "-" 72 "uORF" 10637098 10637100 0.759153
"73" "ENST00000080059.12" "12" 47819802 47819819 "-" 73 "uORF" 47819817 47819819 1.95803511111111
"74" "ENST00000084798.9" "19" 48645936 48646025 "-" 74 "uORF" 48646023 48646025 1.24135988888889
"75" "ENST00000084798.9" "19" 48646001 48646018 "-" 75 "uORF" 48646016 48646018 1.60053122222222
"76" "ENST00000084798.9" "19" 48645950 48645982 "-" 76 "uORF" 48645980 48645982 1.38350855555556
"81" "ENST00000159087.7" "19" 17334688 17334732 "-" 81 "uORF" 17334730 17334732 1.718627
"84" "ENST00000162749.7" "12" 6341824 6341955 "-" 84 "uORF" 6341953 6341955 0.519538666666667
"85" "ENST00000162749.7" "12" 6341834 6341845 "-" 85 "uORF" 6341843 6341845 2.39202033333334
"86" "ENST00000164024.5" "3" 48662790 48662852 "-" 86 "uORF" 48662850 48662852 2.24906388888889
"95" "ENST00000168712.3" "11" 69775250 69775264 "-" 95 "uORF" 69775262 69775264 0.982794111111111
"106" "ENST00000170168.9" "19" 1848413 1848466 "-" 106 "uORF" 1848464 1848466 1.84378844444445
"115" "ENST00000181796.7" "10" 14774833 14774868 "-" 115 "uORF" 14774866 14774868 0.519186666666667
"116" "ENST00000181796.7" "10" 14774689 14774724 "-" 116 "uORF" 14774722 14774724 0.296241
