"t_id" "chromosome" "g_start_coord_ref" "g_end_coord_ref" "strand_mane" "u_id" "u_id2" "aug_end" "stop_end" "cadd"
"1" "ENST00000000442.11" "11" 64305559 64305603 "+" 1 "uORF" 64305561 64305605 2.36107611111111
"2" "ENST00000000442.11" "11" 64305705 64307171 "+" 2 "uORF" 64305707 64307173 1.90512233333333
"6" "ENST00000002829.8" "3" 50155344 50155379 "+" 6 "uORF" 50155346 50155381 2.04713955555556
"7" "ENST00000002829.8" "3" 50155468 50155488 "+" 7 "uORF" 50155470 50155490 1.69348522222222
"8" "ENST00000005284.4" "16" 24256440 24256484 "+" 8 "uORF" 24256442 24256486 1.91020277777778
"9" "ENST00000005284.4" "16" 24256481 24256690 "+" 9 "uORF" 24256483 24256692 1.88870633333334
"10" "ENST00000005284.4" "16" 24256518 24256562 "+" 10 "uORF" 24256520 24256564 1.26318544444444
"11" "ENST00000005284.4" "16" 24256626 24256670 "+" 11 "uORF" 24256628 24256672 1.47230344444445
"12" "ENST00000005756.5" "2" 158101891 158101914 "+" 12 "uORF" 158101893 158101916 0.117664
"13" "ENST00000005756.5" "2" 158101978 158101998 "+" 13 "uORF" 158101980 158102000 1.323754
"16" "ENST00000007510.9" "19" 35775584 35775643 "+" 16 "uORF" 35775586 35775645 2.50638133333333
"17" "ENST00000008391.4" "6" 50713552 50713602 "+" 17 "uORF" 50713554 50713604 1.86972288888889
"18" "ENST00000008391.4" "6" 50713609 50713635 "+" 18 "uORF" 50713611 50713637 1.89056466666667
"19" "ENST00000008391.4" "6" 50713628 50713705 "+" 19 "uORF" 50713630 50713707 1.88121455555556
"20" "ENST00000008391.4" "6" 50713638 50713667 "+" 20 "uORF" 50713640 50713669 1.77636333333333
"21" "ENST00000008391.4" "6" 50713744 50713929 "+" 21 "uORF" 50713746 50713931 1.49515433333334
"31" "ENST00000025301.4" "13" 42272196 42286012 "+" 31 "uORF" 42272198 42286014 0.920909
"33" "ENST00000035307.7" "7" 151232765 151232908 "+" 33 "uORF" 151232767 151232910 1.31810222222222
"34" "ENST00000035307.7" "7" 151233233 151233289 "+" 34 "uORF" 151233235 151233291 1.34315455555556
"35" "ENST00000035307.7" "7" 151233245 151233289 "+" 35 "uORF" 151233247 151233291 1.34315455555556
"36" "ENST00000035307.7" "7" 151233260 151233289 "+" 36 "uORF" 151233262 151233291 1.34315455555556
"37" "ENST00000035307.7" "7" 151233325 151233360 "+" 37 "uORF" 151233327 151233362 0.991212999999999
"38" "ENST00000035307.7" "7" 151233334 151233360 "+" 38 "uORF" 151233336 151233362 0.991212999999999
"39" "ENST00000035307.7" "7" 151233502 151233633 "+" 39 "uORF" 151233504 151233635 0.678002555555556
"40" "ENST00000035307.7" "7" 151233578 151233628 "+" 40 "uORF" 151233580 151233630 0.768833111111112
"41" "ENST00000035307.7" "7" 151233647 151233712 "+" 41 "uORF" 151233649 151233714 0.557322555555556
"42" "ENST00000035307.7" "7" 151233852 151233920 "+" 42 "uORF" 151233854 151233922 0.781453
"44" "ENST00000046640.9" "17" 3636789 3637243 "+" 44 "uORF" 3636791 3637245 0.665609888888889
"49" "ENST00000054650.9" "1" 6624894 6624929 "+" 49 "uORF" 6624896 6624931 0.451449
"56" "ENST00000061240.7" "4" 165873331 165873384 "+" 56 "uORF" 165873333 165873386 2.27559755555556
"57" "ENST00000061240.7" "4" 165873376 165873384 "+" 57 "uORF" 165873378 165873386 2.27559755555556
"58" "ENST00000061240.7" "4" 165873384 165873518 "+" 58 "uORF" 165873386 165873520 1.67048411111111
"59" "ENST00000061240.7" "4" 165873756 165873773 "+" 59 "uORF" 165873758 165873775 1.35922777777778
"67" "ENST00000072869.9" "7" 140673218 140673277 "+" 67 "uORF" 140673220 140673279 0.367537666666667
"77" "ENST00000155093.8" "Y" 2935695 2953917 "+" 77 "uORF" 2935697 2953919 2.48702422222222
"78" "ENST00000155926.9" "2" 12717043 12717057 "+" 78 "uORF" 12717045 12717059 2.228189
"79" "ENST00000155926.9" "2" 12717456 12717470 "+" 79 "uORF" 12717458 12717472 2.02769144444444
"80" "ENST00000155926.9" "2" 12717589 12717630 "+" 80 "uORF" 12717591 12717632 2.082882
"82" "ENST00000161863.9" "5" 113513718 113513750 "+" 82 "uORF" 113513720 113513752 0.923597888888888
"83" "ENST00000162391.8" "12" 8033735 8033758 "+" 83 "uORF" 8033737 8033760 2.05299466666667
"87" "ENST00000164133.7" "11" 64924690 64924701 "+" 87 "uORF" 64924692 64924703 2.23326355555556
"88" "ENST00000164133.7" "11" 64924868 64924876 "+" 88 "uORF" 64924870 64924878 1.33479066666667
"89" "ENST00000164133.7" "11" 64925639 64925653 "+" 89 "uORF" 64925641 64925655 0.826744999999999
"90" "ENST00000167106.9" "14" 76761827 76761997 "+" 90 "uORF" 76761829 76761999 1.24012655555556
"91" "ENST00000167106.9" "14" 76761947 76761997 "+" 91 "uORF" 76761949 76761999 1.24012655555556
"92" "ENST00000167106.9" "14" 76762160 76762360 "+" 92 "uORF" 76762162 76762362 0.834435444444443
"93" "ENST00000167106.9" "14" 76762529 76762612 "+" 93 "uORF" 76762531 76762614 1.45930222222222
"94" "ENST00000167106.9" "14" 76762735 76762776 "+" 94 "uORF" 76762737 76762778 1.98755955555556
"96" "ENST00000169298.8" "3" 186963844 186963882 "+" 96 "uORF" 186963846 186963884 1.65602555555556
"97" "ENST00000169298.8" "3" 186963849 186963863 "+" 97 "uORF" 186963851 186963865 1.88267533333333
"98" "ENST00000169298.8" "3" 186963865 186963882 "+" 98 "uORF" 186963867 186963884 1.65602555555556
"99" "ENST00000169298.8" "3" 187038742 187038813 "+" 99 "uORF" 187038744 187038815 -0.0214887777777777
"100" "ENST00000169298.8" "3" 187038767 187038793 "+" 100 "uORF" 187038769 187038795 0.489207666666667
"101" "ENST00000169298.8" "3" 187038806 187038829 "+" 101 "uORF" 187038808 187038831 1.37373522222222
"102" "ENST00000169551.11" "18" 74148541 74148558 "+" 102 "uORF" 74148543 74148560 0.738934444444444
"103" "ENST00000169551.11" "18" 74148559 74148591 "+" 103 "uORF" 74148561 74148593 0.923606333333334
"104" "ENST00000169551.11" "18" 74148597 74148623 "+" 104 "uORF" 74148599 74148625 0.684402444444444
"105" "ENST00000169551.11" "18" 74148737 74148754 "+" 105 "uORF" 74148739 74148756 0.672693222222221
"107" "ENST00000171757.3" "X" 78945396 78945434 "+" 107 "uORF" 78945398 78945436 0.314243888888889
"108" "ENST00000171757.3" "X" 78945420 78945434 "+" 108 "uORF" 78945422 78945436 0.314243888888889
"109" "ENST00000171757.3" "X" 78947818 78947829 "+" 109 "uORF" 78947820 78947831 0.421227666666667
"110" "ENST00000171757.3" "X" 78947826 78952277 "+" 110 "uORF" 78947828 78952279 0.145564222222222
"111" "ENST00000171757.3" "X" 78947857 78952197 "+" 111 "uORF" 78947859 78952199 0.211553555555555
"112" "ENST00000171757.3" "X" 78952204 78952260 "+" 112 "uORF" 78952206 78952262 0.531875666666667
"113" "ENST00000171757.3" "X" 78952277 78952333 "+" 113 "uORF" 78952279 78952335 0.922179555555557
"114" "ENST00000171757.3" "X" 78952304 78952333 "+" 114 "uORF" 78952306 78952335 0.922179555555557
"117" "ENST00000181839.10" "7" 39950578 39950592 "+" 117 "uORF" 39950580 39950594 2.07605522222222
"118" "ENST00000182290.9" "11" 2302019 2302069 "+" 118 "uORF" 2302021 2302071 1.13722133333333
"121" "ENST00000190611.9" "2" 178194551 178194571 "+" 121 "uORF" 178194553 178194573 1.01969133333333
"122" "ENST00000190611.9" "2" 178285022 178285069 "+" 122 "uORF" 178285024 178285071 0.578404222222222
"123" "ENST00000190611.9" "2" 178306087 178306095 "+" 123 "uORF" 178306089 178306097 1.75756555555555
"124" "ENST00000190611.9" "2" 178306092 178306133 "+" 124 "uORF" 178306094 178306135 0.893222555555555
"125" "ENST00000190611.9" "2" 178306146 178306163 "+" 125 "uORF" 178306148 178306165 0.595933555555555
"126" "ENST00000192788.6" "6" 34792125 34792172 "+" 126 "uORF" 34792127 34792174 1.37265655555556
"129" "ENST00000194530.8" "2" 201454801 201454836 "+" 129 "uORF" 201454803 201454838 1.87372033333333
"131" "ENST00000199447.9" "7" 37848608 37848637 "+" 131 "uORF" 37848610 37848639 0.152320333333334
"132" "ENST00000199447.9" "7" 37848637 37848857 "+" 132 "uORF" 37848639 37848859 0.502629222222222
"133" "ENST00000199447.9" "7" 37848934 37849020 "+" 133 "uORF" 37848936 37849022 0.570759666666667
"134" "ENST00000199936.9" "16" 82035266 82035403 "+" 134 "uORF" 82035268 82035405 1.13425944444444
"135" "ENST00000199936.9" "16" 82035272 82035403 "+" 135 "uORF" 82035274 82035405 1.13425944444444
"136" "ENST00000199936.9" "16" 82035283 82035294 "+" 136 "uORF" 82035285 82035296 0.561731111111111
"137" "ENST00000200453.6" "19" 48872455 48872523 "+" 137 "uORF" 48872457 48872525 0.905713555555556
"138" "ENST00000200453.6" "19" 48872554 48872634 "+" 138 "uORF" 48872556 48872636 1.30149177777778
"139" "ENST00000200557.11" "17" 44759013 44759036 "+" 139 "uORF" 44759015 44759038 1.33668233333333
"140" "ENST00000201031.3" "20" 56629393 56629407 "+" 140 "uORF" 56629395 56629409 1.54899688888889
"141" "ENST00000201979.3" "20" 31476231 31476356 "+" 141 "uORF" 31476233 31476358 0.465863333333333
"143" "ENST00000202967.4" "12" 120302325 120302375 "+" 143 "uORF" 120302327 120302377 1.00932511111111
"145" "ENST00000204961.5" "X" 68829021 68829197 "+" 145 "uORF" 68829023 68829199 0.954561777777778
"146" "ENST00000204961.5" "X" 68829157 68829222 "+" 146 "uORF" 68829159 68829224 1.64633388888889
"147" "ENST00000204961.5" "X" 68829562 68829591 "+" 147 "uORF" 68829564 68829593 1.923561
"148" "ENST00000204961.5" "X" 68829673 68829684 "+" 148 "uORF" 68829675 68829686 1.37748866666667
"152" "ENST00000206249.8" "6" 151807799 151807861 "+" 152 "uORF" 151807801 151807863 1.47981477777778
"157" "ENST00000206595.11" "14" 30559183 30559242 "+" 157 "uORF" 30559185 30559244 0.451471222222222
"166" "ENST00000210187.11" "16" 2148645 2148770 "+" 166 "uORF" 2148647 2148772 0.876798111111111
"167" "ENST00000210187.11" "16" 2148648 2148770 "+" 167 "uORF" 2148650 2148772 0.876798111111111
"168" "ENST00000210633.4" "10" 100969568 100972579 "+" 168 "uORF" 100969570 100972581 1.66961166666667
"169" "ENST00000210633.4" "10" 100972630 100972680 "+" 169 "uORF" 100972632 100972682 1.65435633333333
"170" "ENST00000210633.4" "10" 100972646 100972663 "+" 170 "uORF" 100972648 100972665 0.861222444444444
"171" "ENST00000210633.4" "10" 100972700 100972786 "+" 171 "uORF" 100972702 100972788 1.49179533333333
"172" "ENST00000210633.4" "10" 100972724 100972786 "+" 172 "uORF" 100972726 100972788 1.49179533333333
"173" "ENST00000210633.4" "10" 100972750 100972761 "+" 173 "uORF" 100972752 100972763 1.30709622222222
"174" "ENST00000210633.4" "10" 100972758 100972769 "+" 174 "uORF" 100972760 100972771 0.336833444444445
"175" "ENST00000210633.4" "10" 100972775 100972786 "+" 175 "uORF" 100972777 100972788 1.49179533333333
"176" "ENST00000210633.4" "10" 100972783 100972821 "+" 176 "uORF" 100972785 100972823 1.11492411111111
"181" "ENST00000215555.7" "19" 8421801 8421818 "+" 181 "uORF" 8421803 8421820 1.16741866666667
"184" "ENST00000215794.8" "22" 18150211 18157584 "+" 184 "uORF" 18150213 18157586 0.629267888888889
"185" "ENST00000215838.8" "22" 30607199 30607210 "+" 185 "uORF" 30607201 30607212 2.12632211111111
"188" "ENST00000215906.6" "22" 26433569 26433610 "+" 188 "uORF" 26433571 26433612 0.333482
"189" "ENST00000216029.8" "22" 38656638 38656682 "+" 189 "uORF" 38656640 38656684 0.517401222222222
"192" "ENST00000216099.13" "22" 39021308 39021337 "+" 192 "uORF" 39021310 39021339 0.529934111111111
"193" "ENST00000216106.6" "22" 35257508 35257555 "+" 193 "uORF" 35257510 35257557 3.61698611111111
"194" "ENST00000216127.5" "22" 35541292 35541378 "+" 194 "uORF" 35541294 35541380 1.28971411111111
"196" "ENST00000216144.4" "22" 29720240 29720272 "+" 196 "uORF" 29720242 29720274 1.16159033333333
"197" "ENST00000216237.10" "22" 41205320 41205340 "+" 197 "uORF" 41205322 41205342 2.11351855555555
"198" "ENST00000216268.6" "22" 49853919 49883337 "+" 198 "uORF" 49853921 49883339 0.382245444444444
"199" "ENST00000216268.6" "22" 49853923 49883437 "+" 199 "uORF" 49853925 49883439 -0.00721077777777757
"200" "ENST00000216268.6" "22" 49883337 49883576 "+" 200 "uORF" 49883339 49883578 1.11068511111111
"201" "ENST00000216268.6" "22" 49883356 49883370 "+" 201 "uORF" 49883358 49883372 -0.100791222222222
"202" "ENST00000216268.6" "22" 49883367 49883576 "+" 202 "uORF" 49883369 49883578 1.11068511111111
"203" "ENST00000216268.6" "22" 49883434 49883445 "+" 203 "uORF" 49883436 49883447 -0.128601555555555
"204" "ENST00000216268.6" "22" 49883474 49883482 "+" 204 "uORF" 49883476 49883484 0.185582
"205" "ENST00000216268.6" "22" 49883487 49883576 "+" 205 "uORF" 49883489 49883578 1.11068511111111
"206" "ENST00000216268.6" "22" 49883520 49883576 "+" 206 "uORF" 49883522 49883578 1.11068511111111
"207" "ENST00000216268.6" "22" 49883554 49883565 "+" 207 "uORF" 49883556 49883567 0.113495777777778
"208" "ENST00000216268.6" "22" 49883562 49883576 "+" 208 "uORF" 49883564 49883578 1.11068511111111
"209" "ENST00000216268.6" "22" 49883602 49883628 "+" 209 "uORF" 49883604 49883630 0.310680888888889
"210" "ENST00000216277.13" "14" 96502412 96502447 "+" 210 "uORF" 96502414 96502449 2.39761233333333
"211" "ENST00000216277.13" "14" 96502526 96502567 "+" 211 "uORF" 96502528 96502569 2.32186355555556
"217" "ENST00000216487.12" "14" 92513853 92513897 "+" 217 "uORF" 92513855 92513899 1.24523188888889
"220" "ENST00000216554.8" "14" 103335771 103335839 "+" 220 "uORF" 103335773 103335841 2.35578866666667
"226" "ENST00000217233.9" "20" 380805 381038 "+" 226 "uORF" 380807 381040 0.795383777777778
"227" "ENST00000217233.9" "20" 380840 380884 "+" 227 "uORF" 380842 380886 1.98601422222222
"230" "ENST00000217420.2" "20" 38724587 38724634 "+" 230 "uORF" 38724589 38724636 1.958703
"242" "ENST00000218032.7" "X" 12906683 12906694 "+" 242 "uORF" 12906685 12906696 0.500624777777778
"243" "ENST00000218075.9" "X" 14529723 14529755 "+" 243 "uORF" 14529725 14529757 1.64373211111111
"244" "ENST00000218075.9" "X" 14529749 14529769 "+" 244 "uORF" 14529751 14529771 1.14201377777778
"245" "ENST00000218075.9" "X" 14529755 14529769 "+" 245 "uORF" 14529757 14529771 1.14201377777778
"246" "ENST00000218075.9" "X" 14529844 14529870 "+" 246 "uORF" 14529846 14529872 1.51106388888889
"247" "ENST00000218075.9" "X" 14529873 14529986 "+" 247 "uORF" 14529875 14529988 0.790124444444446
"248" "ENST00000218075.9" "X" 14529876 14529986 "+" 248 "uORF" 14529878 14529988 0.790124444444446
"257" "ENST00000219069.6" "16" 3283606 3283647 "+" 257 "uORF" 3283608 3283649 0.773074222222222
"258" "ENST00000219069.6" "16" 3283751 3283798 "+" 258 "uORF" 3283753 3283800 0.767960333333333
"259" "ENST00000219070.9" "16" 55479324 55479335 "+" 259 "uORF" 55479326 55479337 2.00731388888889
"261" "ENST00000219271.4" "16" 58025970 58026029 "+" 261 "uORF" 58025972 58026031 1.93427433333333
"268" "ENST00000219343.11" "16" 68266674 68266700 "+" 268 "uORF" 68266676 68266702 1.47661888888889
"269" "ENST00000219343.11" "16" 68266689 68266700 "+" 269 "uORF" 68266691 68266702 1.47661888888889
"270" "ENST00000219473.12" "16" 84700008 84700079 "+" 270 "uORF" 84700010 84700081 1.92204877777778
"271" "ENST00000219473.12" "16" 84700024 84700050 "+" 271 "uORF" 84700026 84700052 1.97682388888889
"272" "ENST00000219611.7" "16" 536042 536059 "+" 272 "uORF" 536044 536061 0.179946777777778
"276" "ENST00000219794.11" "16" 31109047 31109106 "+" 276 "uORF" 31109049 31109108 1.48456766666667
"277" "ENST00000220003.14" "15" 74782652 74782675 "+" 277 "uORF" 74782654 74782677 2.34912211111111
"278" "ENST00000220003.14" "15" 74782675 74798270 "+" 278 "uORF" 74782677 74798272 1.63354444444444
"279" "ENST00000220003.14" "15" 74798238 74798270 "+" 279 "uORF" 74798240 74798272 1.63354444444444
"280" "ENST00000220562.9" "8" 28701520 28701648 "+" 280 "uORF" 28701522 28701650 1.10549277777778
"281" "ENST00000220562.9" "8" 28713509 28715590 "+" 281 "uORF" 28713511 28715592 0.730862111111111
"282" "ENST00000220562.9" "8" 28713548 28715590 "+" 282 "uORF" 28713550 28715592 0.730862111111111
"283" "ENST00000220562.9" "8" 28715668 28715718 "+" 283 "uORF" 28715670 28715720 0.878440111111111
"284" "ENST00000220562.9" "8" 28715708 28715902 "+" 284 "uORF" 28715710 28715904 1.75909722222222
"285" "ENST00000220562.9" "8" 28715794 28715826 "+" 285 "uORF" 28715796 28715828 1.71316477777778
"286" "ENST00000220562.9" "8" 28715831 28715902 "+" 286 "uORF" 28715833 28715904 1.75909722222222
"287" "ENST00000220562.9" "8" 28715908 28715976 "+" 287 "uORF" 28715910 28715978 0.408179
"288" "ENST00000220562.9" "8" 28715913 28716023 "+" 288 "uORF" 28715915 28716025 1.71551077777778
"289" "ENST00000220562.9" "8" 28716007 28716033 "+" 289 "uORF" 28716009 28716035 0.973076222222221
"290" "ENST00000220562.9" "8" 28716013 28716033 "+" 290 "uORF" 28716015 28716035 0.973076222222221
"293" "ENST00000220676.2" "8" 54616112 54616132 "+" 293 "uORF" 54616114 54616134 1.02852244444445
"294" "ENST00000220751.5" "8" 89757907 89757927 "+" 294 "uORF" 89757909 89757929 0.484744555555556
"297" "ENST00000221232.11" "19" 54142948 54142968 "+" 297 "uORF" 54142950 54142970 1.77626433333333
"301" "ENST00000221462.9" "19" 45093238 45093309 "+" 301 "uORF" 45093240 45093311 2.31489155555556
"302" "ENST00000221462.9" "19" 45093289 45093309 "+" 302 "uORF" 45093291 45093311 2.31489155555556
"303" "ENST00000221554.13" "19" 13751624 13751656 "+" 303 "uORF" 13751626 13751658 0.462519
"304" "ENST00000221554.13" "19" 13751633 13751656 "+" 304 "uORF" 13751635 13751658 0.462519
"307" "ENST00000221856.11" "19" 4304601 4304624 "+" 307 "uORF" 4304603 4304626 1.99144744444444
"308" "ENST00000221856.11" "19" 4304613 4304624 "+" 308 "uORF" 4304615 4304626 1.99144744444444
"309" "ENST00000222033.6" "19" 5455426 5455467 "+" 309 "uORF" 5455428 5455469 0.331893777777778
"312" "ENST00000222248.4" "19" 17872024 17872047 "+" 312 "uORF" 17872026 17872049 0.810129333333333
"313" "ENST00000222254.13" "19" 18155481 18155573 "+" 313 "uORF" 18155483 18155575 1.190837
"314" "ENST00000222254.13" "19" 18155550 18155573 "+" 314 "uORF" 18155552 18155575 1.190837
"315" "ENST00000222254.13" "19" 18155600 18155623 "+" 315 "uORF" 18155602 18155625 0.766249444444445
"316" "ENST00000222254.13" "19" 18155612 18155623 "+" 316 "uORF" 18155614 18155625 0.766249444444445
"317" "ENST00000222254.13" "19" 18155664 18155714 "+" 317 "uORF" 18155666 18155716 0.613918888888889
"318" "ENST00000222254.13" "19" 18155701 18155709 "+" 318 "uORF" 18155703 18155711 0.574617777777778
"319" "ENST00000222254.13" "19" 18155723 18155749 "+" 319 "uORF" 18155725 18155751 0.905913444444443
"320" "ENST00000222254.13" "19" 18155817 18155849 "+" 320 "uORF" 18155819 18155851 0.538589
"321" "ENST00000222286.9" "19" 35533507 35533521 "+" 321 "uORF" 35533509 35533523 1.05526411111111
"322" "ENST00000222345.11" "19" 38029089 38029103 "+" 322 "uORF" 38029091 38029105 0.0567472222222221
"323" "ENST00000222345.11" "19" 38081257 38081328 "+" 323 "uORF" 38081259 38081330 0.934891222222222
"324" "ENST00000222345.11" "19" 38081399 38081497 "+" 324 "uORF" 38081401 38081499 1.23430622222222
"325" "ENST00000222345.11" "19" 38081490 38081516 "+" 325 "uORF" 38081492 38081518 0.915209333333334
"326" "ENST00000222462.3" "7" 121329022 121329198 "+" 326 "uORF" 121329024 121329200 0.678607
"327" "ENST00000222462.3" "7" 121329164 121329217 "+" 327 "uORF" 121329166 121329219 1.57550544444445
"329" "ENST00000222573.5" "7" 20331075 20331116 "+" 329 "uORF" 20331077 20331118 1.42680522222222
"330" "ENST00000222573.5" "7" 20331238 20331285 "+" 330 "uORF" 20331240 20331287 1.82681844444445
"331" "ENST00000222573.5" "7" 20331285 20331365 "+" 331 "uORF" 20331287 20331367 2.18357555555556
"332" "ENST00000222573.5" "7" 20331355 20331405 "+" 332 "uORF" 20331357 20331407 2.15853266666667
"333" "ENST00000222573.5" "7" 20331435 20331620 "+" 333 "uORF" 20331437 20331622 2.00119955555555
"334" "ENST00000222573.5" "7" 20331622 20331708 "+" 334 "uORF" 20331624 20331710 1.84948888888889
"335" "ENST00000222574.9" "7" 107169013 107169057 "+" 335 "uORF" 107169015 107169059 1.59028411111111
"336" "ENST00000222644.10" "7" 24573490 24573519 "+" 336 "uORF" 24573492 24573521 1.75290222222222
"341" "ENST00000222792.11" "7" 29194841 29194912 "+" 341 "uORF" 29194843 29194914 2.06173622222222
"350" "ENST00000222969.10" "7" 99409007 99409048 "+" 350 "uORF" 99409009 99409050 0.345983444444444
"351" "ENST00000222969.10" "7" 99409088 99409192 "+" 351 "uORF" 99409090 99409194 1.01590933333333
"352" "ENST00000222969.10" "7" 99409120 99409143 "+" 352 "uORF" 99409122 99409145 0.654569555555556
"354" "ENST00000223026.9" "7" 123845183 123845233 "+" 354 "uORF" 123845185 123845235 0.214354777777778
"355" "ENST00000223026.9" "7" 123845230 123845265 "+" 355 "uORF" 123845232 123845267 0.161612666666667
"356" "ENST00000223026.9" "7" 123845356 123845448 "+" 356 "uORF" 123845358 123845450 0.313835111111111
"357" "ENST00000223026.9" "7" 123845364 123845375 "+" 357 "uORF" 123845366 123845377 0.269829222222222
"358" "ENST00000223026.9" "7" 123845396 123845491 "+" 358 "uORF" 123845398 123845493 0.200365666666667
"359" "ENST00000223026.9" "7" 123845421 123845438 "+" 359 "uORF" 123845423 123845440 0.188587222222222
"360" "ENST00000223026.9" "7" 123845472 123845567 "+" 360 "uORF" 123845474 123845569 0.238801555555556
"361" "ENST00000223026.9" "7" 123845512 123845553 "+" 361 "uORF" 123845514 123845555 0.153117444444445
"362" "ENST00000223026.9" "7" 123845599 123845619 "+" 362 "uORF" 123845601 123845621 0.467407
"375" "ENST00000223145.10" "7" 7969043 7969096 "+" 375 "uORF" 7969045 7969098 1.65785366666667
"381" "ENST00000223215.10" "7" 130492298 130492306 "+" 381 "uORF" 130492300 130492308 2.11207
"382" "ENST00000223398.11" "7" 74289718 74317483 "+" 382 "uORF" 74289720 74317485 0.806833222222221
"383" "ENST00000223398.11" "7" 74317490 74317507 "+" 383 "uORF" 74317492 74317509 1.07748888888889
"395" "ENST00000224721.12" "10" 71396979 71396990 "+" 395 "uORF" 71396981 71396992 1.13319733333333
"396" "ENST00000224721.12" "10" 71397052 71397120 "+" 396 "uORF" 71397054 71397122 2.05897844444444
"409" "ENST00000226067.10" "17" 55264982 55265002 "+" 409 "uORF" 55264984 55265004 2.124802
"410" "ENST00000226067.10" "17" 55264994 55265002 "+" 410 "uORF" 55264996 55265004 2.124802
"411" "ENST00000226067.10" "17" 55265315 55265332 "+" 411 "uORF" 55265317 55265334 1.682106
"412" "ENST00000226067.10" "17" 55265321 55265332 "+" 412 "uORF" 55265323 55265334 1.682106
"413" "ENST00000226091.3" "17" 7705292 7705336 "+" 413 "uORF" 7705294 7705338 1.191068
"414" "ENST00000226105.11" "17" 8288723 8288764 "+" 414 "uORF" 8288725 8288766 0.907000777777777
